Temp Irradiance TheoV PredV TheoP PreP
298.905 461.48 0.487 0.4794043564046344 1.6934448486 1.68959595468725
298.969 437.11 0.486 0.47723842119827997 1.59977961181 1.595220638380949
298.714 423.67 0.485 0.47644795059635187 1.54670873911 1.542668036990438
298.479 313.71 0.477 0.4671997819012603 1.12623575178 1.122046945459211
298.458 522.14 0.489 0.48548413854357464 1.92559537366 1.9244760076258094
298.009 620.4 0.493 0.49468350972552466 2.30510228105 2.304690730514086
297.713 602.89 0.491 0.49353242226480915 2.2344884421 2.2340857683217483
298.306 630.64 0.494 0.4951402581460102 2.3474644093 2.3472215045159106
298.502 615.46 0.493 0.49354436117283096 2.28958507397 2.289586711319343
297.773 631.61 0.493 0.4959161539116224 2.34707270416 2.3459753835081574
297.524 501.76 0.487 0.4849027779976102 1.84080558459 1.8405501370436055
297.703 495.0 0.487 0.4840922898571616 1.81580577546 1.8152929197740317
298.664 361.0 0.481 0.4711538373134614 1.30656418744 1.3019814225211197
298.674 436.0 0.485 0.4777285192525995 1.59393267393 1.5903719205682132
299.202 351.0 0.481 0.46965218110708185 1.27076436587 1.2647012078553561
298.84 366.0 0.481 0.4715047779172738 1.32642132707 1.321516314819913
299.425 343.0 0.481 0.4687575939805601 1.24119132993 1.2345754716604938
299.403 391.0 0.484 0.47302222060773813 1.42467884979 1.4183926489060474
299.404 872.0 0.503 0.5149229179677248 3.31251593219 3.289986055420932
299.279 893.0 0.504 0.5165549075954075 3.39498066953 3.3660905175946967
299.253 761.0 0.5 0.5048890218366853 2.86935894969 2.86581495372872
298.671 417.0 0.484 0.4761961288216701 1.52087813025 1.5170754353888016
298.592 516.0 0.489 0.48482297587185386 1.90263163948 1.9011545716443876
299.27 515.0 0.49 0.4837831653322194 1.90306139965 1.8998973955917824
298.583 755.0 0.498 0.5053783668193765 2.83919965139 2.832629585041675
298.59 618.0 0.494 0.4935455471177203 2.3001890058 2.3002110219566148
298.254 728.0 0.497 0.5034378673704069 2.72955905279 2.724123154254827
298.511 806.0 0.5 0.5096329235436244 3.04043699239 3.026110426898873
299.36 805.0 0.501 0.5081291722037056 3.04510083705 3.0383422567699983
299.378 597.0 0.494 0.49034242955331564 2.22392251193 2.2226939081950374
299.358 392.0 0.484 0.4730286368198461 1.42830079574 1.4220166160999974
299.603 390.0 0.484 0.47254599672443526 1.42179712545 1.4146955500606961
299.43 443.0 0.487 0.47734481643127347 1.62498485584 1.6193217245608702
299.321 587.0 0.493 0.4897638696606803 2.18431578522 2.183082846190023
299.503 468.0 0.488 0.47942175549559995 1.7220711622 1.7168069329990723
299.289 633.0 0.495 0.4937932291752805 2.36448337121 2.364270020288781
299.387 585.0 0.494 0.4895827271630875 2.17696672661 2.17560011153102
299.393 770.0 0.5 0.5053403893710038 2.90640646923 2.9029188515878723
299.576 728.0 0.499 0.5014157279589192 2.74165449651 2.741043304664074
299.695 728.0 0.499 0.5012042819702439 2.74273108477 2.7423385588950366
301.49 736.0 0.503 0.4991908956938535 2.79104520749 2.78972423944446
301.621 737.0 0.503 0.4991793032520532 2.79626162529 2.794716827148345
301.022 714.0 0.501 0.4981914603680257 2.69921523893 2.6982781096454183
301.001 734.0 0.502 0.4999785181760924 2.77856659089 2.7782132985751704
301.211 689.0 0.501 0.49588416638021227 2.60153935495 2.5992993695413698
300.952 671.0 0.499 0.49480947575511625 2.52794344462 2.5257651602239783
300.939 371.0 0.485 0.46925382013562567 1.35496394283 1.3429710164119466
300.941 522.0 0.493 0.4822545324477467 1.94106491942 1.9322036053976728
300.906 642.0 0.498 0.49267839862273466 2.41281827386 2.4097896796415563
301.391 641.0 0.499 0.492002900059169 2.41275713252 2.408065817227441
302.352 619.0 0.5 0.4889286357234792 2.33315189191 2.3229618312130142
